1;ACEITES
2;AMPOLL.***
3;BUJIAS ***
5;CORREAS ***
6;FILTROS ***
7;ADITIVO ***
8;DEVOLUCIONES XXXXXX
9;"PINTURAS....."""""""""""
A;*** CHEVROLET ***
B;CHEVROLET S10
C;CHEVETTE
D;DAEWOO ***
E;CITROEN  ****
F;CHINOS
G;AMORTIG.GAS ***
H;HYUNDAI
I;ISUZU GEMINI ***
J;SUZUKI
K;KIA
L;LUV ***
M;MONZA ***
N;NISSAN-DATSUN ***
O;JAPONESES ***
P;PEUGEOT ***
Q;FORD RANGER
R;RENAULT ***
S;AMORTIGUADORES ***
T;TOYOTA ***
U;VARIOS
V;VARIOS
W;SAMSUNG SM3-SM5
X;ACCESORIOS***
Y;MAHINDRA / MITSUBISHI L-200 / KATANA
Z;OPEL
